instance,best_weight,best_distance,dist_w=0.0,dist_w=0.025,dist_w=0.05,dist_w=0.075,dist_w=0.1,dist_w=0.125,dist_w=0.15,dist_w=0.175,dist_w=0.2,dist_w=0.225,dist_w=0.25,dist_w=0.275,dist_w=0.3,dist_w=0.325,dist_w=0.35,dist_w=0.375,dist_w=0.4,dist_w=0.425,dist_w=0.45,dist_w=0.475,dist_w=0.5,dist_w=0.525,dist_w=0.55,dist_w=0.575,dist_w=0.6,dist_w=0.625,dist_w=0.65,dist_w=0.675,dist_w=0.7,dist_w=0.725,dist_w=0.75,dist_w=0.775,dist_w=0.8,dist_w=0.825,dist_w=0.85,dist_w=0.875,dist_w=0.9,dist_w=0.925,dist_w=0.95,dist_w=0.975,dist_w=1.0
c103_21,0.075,1622.6377487101634,2347.5355627087292,1778.8774264096025,1625.2851789420356,1622.6377487101634,1671.2047924446897,1700.0652301406271,1735.1101727178177,1641.7312145893143,1827.2893664977892,1827.2893664977892,1840.472194152654,1853.3212236458917,1853.3212236458917,1853.3212236458917,1853.3212236458917,1837.6985184322423,1837.6985184322423,1837.6985184322423,1911.246338007536,1911.246338007536,1911.246338007536,1911.246338007536,1911.246338007536,1944.1536116665304,1944.1536116665304,1944.1536116665304,1997.702140875835,1965.231214599676,1965.231214599676,1965.231214599676,1965.231214599676,1824.279077423193,1824.279077423193,1824.279077423193,1824.279077423193,1824.279077423193,1824.279077423193,1920.6085360199052,1920.6085360199052,1920.6085360199052,1940.0921090241513
c105_21,0.075,1443.90180095524,2153.750822761189,1585.6845720659335,1590.9390196575441,1443.90180095524,1592.1870691244242,1620.6397505054897,1585.987397263385,1621.0031717383124,1621.0031717383124,1621.0031717383124,1783.3369068441757,1762.6211831240973,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320735,1853.9775757320738,1853.9775757320738,1853.9775757320738,1917.4559694696202,1917.4559694696202,1917.4559694696202,1970.6020940666517,1970.6020940666517,1970.6020940666517,1970.6020940666517,1970.6020940666517,1989.6957413102,1989.6957413102,1989.6957413102,1989.6957413102
c204_21,0.125,1166.4912536395939,1587.0581076897708,1247.897518006283,1203.3039613358844,1203.3039613358844,1212.7874459428183,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1166.4912536395939,1333.9601911545717,1333.9601911545717,1333.9601911545717,1333.9601911545717,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306,1373.663553162306
r102_21,0.375,2031.1675993871424,2593.4636709134684,2525.3981301326944,2458.3126145746883,2210.4777178559657,2146.3202459599192,2072.4637240152133,2099.157501658444,2156.387227312051,2096.5392806935806,2059.3065700369475,2058.749317267878,2122.4192381284615,2108.922938885424,2108.9229388854246,2094.3768726664925,2031.1675993871424,2049.958883384686,2050.1851338537917,2050.1851338537917,2068.7892842771134,2068.7892842771134,2142.8546685636447,2142.8546685636447,2126.889651126186,2126.889651126186,2144.346616163841,2144.346616163841,2144.346616163841,2144.346616163841,2144.346616163841,2203.362182315816,2268.154827287825,2275.4760623693805,2290.4402425584935,2290.4402425584935,2290.4402425584935,2263.901839230058,2263.901839230058,2263.901839230058,2263.901839230058,2263.901839230058
r107_21,0.75,1718.6009249435112,1979.065678868927,2066.194548999496,2033.9235287508109,1972.6802657470987,1908.4720199877102,1963.1372241321876,1947.8627839443573,1821.8817221066558,1747.4774211557026,1747.4774211557026,1823.0367425626384,1823.0367425626384,1823.0367425626384,1802.4047201065025,1776.4181682209776,1776.4181682209776,1776.4181682209776,1776.4181682209776,1772.458484078821,1772.8147650962135,1772.8147650962135,1772.8147650962135,1772.8147650962135,1772.8147650962135,1802.2879457420738,1817.3827973712616,1724.251044042447,1782.1572413935678,1825.7612580111252,1825.7612580111252,1718.6009249435112,1718.6009249435112,1718.6009249435112,1819.467314845414,1819.467314845414,1819.467314845414,1838.1447755223974,1818.3704081833441,1818.3704081833441,1743.793455984279,1743.793455984279
r205_21,0.1,1274.2209951391696,1555.5693994078338,1410.13600968697,1394.1912948890629,1274.4889906908065,1274.2209951391696,1445.161428207547,1445.161428207547,1385.7012661143658,1446.6289716498889,1511.5949116509187,1502.4243750885598,1511.9210298674548,1511.9210298674548,1511.9210298674548,1511.9210298674548,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1444.8566017796068,1449.086828128897,1449.086828128897,1449.086828128897,1449.086828128897,1484.6473063305193,1484.6473063305193,1484.6473063305193,1484.6473063305193,1484.6473063305193,1484.6473063305193,1484.6473063305193,1514.1769562000507,1514.1769562000507,1514.1769562000507,1514.1769562000507,1514.1769562000507
r211_21,0.125,1074.6309127206448,1312.3188893593078,1151.5001231951057,1106.68330147324,1227.755533583232,1078.6099222502762,1074.6309127206448,1226.4553027420825,1161.650020834127,1105.5225461519024,1193.127092910017,1193.127092910017,1193.127092910017,1193.127092910017,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1120.8750599764198,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374,1119.1857841175374
rc101_21,0.4,2227.8493986734106,2874.651001580608,2790.8532553544624,2880.658457453001,2934.6847569848414,2706.975161762347,2632.2735554351057,2401.295758517438,2454.4028907809343,2318.999389658748,2437.544415403981,2426.1615430178,2404.1098343832577,2277.378180197139,2257.984867804036,2362.8085619066496,2362.8085619066496,2227.8493986734106,2227.8493986734106,2243.5323670404273,2243.417714824225,2465.1717702622905,2467.340818367445,2480.6360554146463,2480.6360554146463,2480.6360554146463,2505.0447446010176,2505.0447446010176,2508.5594632267794,2525.8722673761818,2525.8722673761827,2525.8722673761827,2601.2238354616647,2705.7518711447483,2642.459819355812,2642.459819355812,2692.330268151602,2692.330268151602,2787.103883127324,2787.103883127324,2613.807827086233,2858.438233372517
rc106_21,0.375,2064.6797512378644,2488.413494589024,2577.146332266248,2520.2933585264473,2220.6242315954014,2449.298138787121,2461.9526488392066,2249.4388001086595,2257.5194531868997,2205.7785706319114,2084.4063911722683,2125.9922216059927,2134.152829404101,2141.2132266645003,2141.2132266645003,2147.6564698078214,2064.6797512378644,2064.6797512378644,2138.6671398528792,2138.6671398528792,2080.2025893580208,2230.045219311518,2214.710579139013,2214.710579139013,2214.710579139013,2214.710579139013,2214.710579139013,2214.710579139013,2214.710579139013,2214.710579139013,2216.7602564117933,2216.7602564117933,2216.7602564117933,2216.7602564117933,2216.7602564117933,2216.7602564117933,2216.7602564117933,2216.7602564117933,2239.2824467469945,2239.2824467469945,2239.2824467469945,2231.1080547310166
rc203_21,0.025,1515.7013919424285,1720.9769281927227,1515.7013919424285,1522.3144565756168,1816.101623665716,1681.113605460513,1690.4853196260965,1648.6698839384512,1648.6698839384512,1648.8629504740638,1648.8629504740638,1658.970421238256,1797.9386135549219,1695.90604350587,1696.920443440676,1696.920443440676,1696.920443440676,1823.4962563879692,1823.4962563879692,1823.4962563879692,1867.1826598595708,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1965.2972806653374,1987.1696068013764,1987.1696068013764,1987.1696068013764,1987.1696068013764,1987.1696068013764,1987.1696068013764,2145.502117373613,2148.0021918339785,2148.0021918339785,2148.0021918339785,2148.0021918339785
